date,capacity_price
2020-11-01 00:00:00,78.89
2020-11-02 00:00:00,92.22
2020-11-03 00:00:00,1074.0
2020-11-04 00:00:00,241.76
2020-11-05 00:00:00,84.46
2020-11-06 00:00:00,48.57
2020-11-07 00:00:00,32.55
2020-11-08 00:00:00,25.0
2020-11-09 00:00:00,22.0
2020-11-10 00:00:00,17.83
2020-11-11 00:00:00,13.74
2020-11-12 00:00:00,13.11
2020-11-13 00:00:00,10.76
2020-11-14 00:00:00,9.56
2020-11-15 00:00:00,87.0
2020-11-16 00:00:00,67.8
2020-11-17 00:00:00,37.0
2020-11-18 00:00:00,18.43
2020-11-19 00:00:00,42.46
2020-11-20 00:00:00,19.25
2020-11-21 00:00:00,28.2
2020-11-22 00:00:00,84.86
2020-11-23 00:00:00,26.4
2020-11-24 00:00:00,19.76
2020-11-25 00:00:00,13.14
2020-11-26 00:00:00,11.0
2020-11-27 00:00:00,8.6
2020-11-28 00:00:00,10.72
2020-11-29 00:00:00,19.0
2020-11-30 00:00:00,11.58
2020-12-01 00:00:00,11.93
2020-12-02 00:00:00,9.47
2020-12-03 00:00:00,8.0
2020-12-04 00:00:00,13.9
2020-12-05 00:00:00,12.2
2020-12-06 00:00:00,9.9
2020-12-07 00:00:00,12.9
2020-12-08 00:00:00,17.2
2020-12-09 00:00:00,19.9
2020-12-10 00:00:00,33.46
2020-12-11 00:00:00,21.0
2020-12-12 00:00:00,21.0
2020-12-13 00:00:00,17.0
2020-12-14 00:00:00,20.75
2020-12-15 00:00:00,17.04
2020-12-16 00:00:00,14.32
2020-12-17 00:00:00,15.64
2020-12-18 00:00:00,12.58
2020-12-19 00:00:00,16.91
2020-12-20 00:00:00,22.67
2020-12-21 00:00:00,16.0
2020-12-22 00:00:00,65.73
2020-12-23 00:00:00,21.1
2020-12-24 00:00:00,41.53
2020-12-25 00:00:00,29.16
2020-12-26 00:00:00,27.08
2020-12-27 00:00:00,280.76
2020-12-28 00:00:00,60.0
2020-12-29 00:00:00,22.05
2020-12-30 00:00:00,21.32
2020-12-31 00:00:00,20.87
2021-01-01 00:00:00,18.4
2021-01-02 00:00:00,15.6
2021-01-03 00:00:00,17.35
2021-01-04 00:00:00,14.84
2021-01-05 00:00:00,12.87
2021-01-06 00:00:00,11.1
2021-01-07 00:00:00,9.82
2021-01-08 00:00:00,9.44
2021-01-09 00:00:00,8.4
2021-01-10 00:00:00,7.23
2021-01-11 00:00:00,7.0
2021-01-12 00:00:00,12.95
2021-01-13 00:00:00,9.94
2021-01-14 00:00:00,6.88
2021-01-15 00:00:00,5.53
2021-01-16 00:00:00,5.0
2021-01-17 00:00:00,4.93
2021-01-18 00:00:00,4.34
2021-01-19 00:00:00,4.74
2021-01-20 00:00:00,18.16
2021-01-21 00:00:00,36.28
2021-01-22 00:00:00,33.38
2021-01-23 00:00:00,11.0
2021-01-24 00:00:00,9.68
2021-01-25 00:00:00,7.39
2021-01-26 00:00:00,5.8
2021-01-27 00:00:00,4.8
2021-01-28 00:00:00,4.5
2021-01-29 00:00:00,4.0
2021-01-30 00:00:00,4.5
2021-01-31 00:00:00,14.91
2021-02-01 00:00:00,10.43
2021-02-02 00:00:00,6.14
2021-02-03 00:00:00,6.3
2021-02-04 00:00:00,9.99
2021-02-05 00:00:00,6.52
2021-02-06 00:00:00,20.75
2021-02-07 00:00:00,160.0
2021-02-08 00:00:00,61.32
2021-02-09 00:00:00,27.63
2021-02-10 00:00:00,17.37
2021-02-11 00:00:00,12.45
2021-02-12 00:00:00,10.0
2021-02-13 00:00:00,8.24
2021-02-14 00:00:00,7.1
2021-02-15 00:00:00,10.99
2021-02-16 00:00:00,8.24
2021-02-17 00:00:00,26.39
2021-02-18 00:00:00,16.53
2021-02-19 00:00:00,18.78
2021-02-20 00:00:00,15.76
2021-02-21 00:00:00,78.0
2021-02-22 00:00:00,26.47
2021-02-23 00:00:00,17.2
2021-02-24 00:00:00,17.2
2021-02-25 00:00:00,17.27
2021-02-26 00:00:00,13.93
2021-02-27 00:00:00,11.96
2021-02-28 00:00:00,19.78
2021-03-01 00:00:00,13.33
2021-03-02 00:00:00,10.5
2021-03-03 00:00:00,8.27
2021-03-04 00:00:00,7.92
2021-03-05 00:00:00,8.0
2021-03-06 00:00:00,7.49
2021-03-07 00:00:00,10.01
2021-03-08 00:00:00,8.64
2021-03-09 00:00:00,7.89
2021-03-10 00:00:00,6.8
2021-03-11 00:00:00,63.42
2021-03-12 00:00:00,58.09
2021-03-13 00:00:00,62.4
2021-03-14 00:00:00,104.0
2021-03-15 00:00:00,41.19
2021-03-16 00:00:00,22.67
2021-03-17 00:00:00,13.0
2021-03-18 00:00:00,9.92
2021-03-19 00:00:00,8.54
2021-03-20 00:00:00,6.99
2021-03-21 00:00:00,51.5
2021-03-22 00:00:00,21.28
2021-03-23 00:00:00,13.96
2021-03-24 00:00:00,9.01
2021-03-25 00:00:00,7.6
2021-03-26 00:00:00,6.24
2021-03-27 00:00:00,34.76
2021-03-28 00:00:00,31.0
2021-03-29 00:00:00,20.0
2021-03-30 00:00:00,14.82
2021-03-31 00:00:00,9.57
2021-04-01 00:00:00,7.07
2021-04-02 00:00:00,18.44
2021-04-03 00:00:00,16.53
2021-04-04 00:00:00,14.68
2021-04-05 00:00:00,56.9
2021-04-06 00:00:00,39.04
2021-04-07 00:00:00,35.06
2021-04-08 00:00:00,24.52
2021-04-09 00:00:00,16.54
2021-04-10 00:00:00,10.84
2021-04-11 00:00:00,25.52
2021-04-12 00:00:00,400.0
2021-04-13 00:00:00,80.98
2021-04-14 00:00:00,34.4
2021-04-15 00:00:00,22.21
2021-04-16 00:00:00,29.0
2021-04-17 00:00:00,27.6
2021-04-18 00:00:00,23.01
2021-04-19 00:00:00,66.66
2021-04-20 00:00:00,44.68
2021-04-21 00:00:00,29.33
2021-04-22 00:00:00,40.0
2021-04-23 00:00:00,30.5
2021-04-24 00:00:00,25.64
2021-04-25 00:00:00,27.0
2021-04-26 00:00:00,37.24
2021-04-27 00:00:00,27.02
2021-04-28 00:00:00,23.0
2021-04-29 00:00:00,18.0
2021-04-30 00:00:00,16.0
2021-05-01 00:00:00,90.32
2021-05-02 00:00:00,94.54
2021-05-03 00:00:00,337.13
2021-05-04 00:00:00,265.0
2021-05-05 00:00:00,172.5
2021-05-06 00:00:00,134.44
2021-05-07 00:00:00,101.68
2021-05-08 00:00:00,98.75
2021-05-09 00:00:00,297.05
2021-05-10 00:00:00,179.44
2021-05-11 00:00:00,123.25
2021-05-12 00:00:00,86.52
2021-05-13 00:00:00,69.99
2021-05-14 00:00:00,58.33
2021-05-15 00:00:00,46.12
2021-05-16 00:00:00,47.55
2021-05-17 00:00:00,69.8
2021-05-18 00:00:00,50.5
2021-05-19 00:00:00,35.66
2021-05-20 00:00:00,29.92
2021-05-21 00:00:00,50.15
2021-05-22 00:00:00,249.23
2021-05-23 00:00:00,231.29
2021-05-24 00:00:00,197.02
2021-05-25 00:00:00,147.29
2021-05-26 00:00:00,99.05
2021-05-27 00:00:00,74.6
2021-05-28 00:00:00,51.85
2021-05-29 00:00:00,40.38
2021-05-30 00:00:00,40.72
2021-05-31 00:00:00,57.2
2021-06-01 00:00:00,38.99
2021-06-02 00:00:00,34.27
2021-06-03 00:00:00,3087.0
2021-06-04 00:00:00,301.79
2021-06-05 00:00:00,125.5
2021-06-06 00:00:00,88.0
2021-06-07 00:00:00,88.62
2021-06-08 00:00:00,61.77
2021-06-09 00:00:00,45.08
2021-06-10 00:00:00,49.97
2021-06-11 00:00:00,69.44
2021-06-12 00:00:00,64.0
2021-06-13 00:00:00,118.0
2021-06-14 00:00:00,68.72
2021-06-15 00:00:00,42.93
2021-06-16 00:00:00,34.71
2021-06-17 00:00:00,32.88
2021-06-18 00:00:00,27.0
2021-06-19 00:00:00,27.33
2021-06-20 00:00:00,35.66
2021-06-21 00:00:00,34.91
2021-06-22 00:00:00,29.36
2021-06-23 00:00:00,23.8
2021-06-24 00:00:00,20.77
2021-06-25 00:00:00,18.0
2021-06-26 00:00:00,17.0
2021-06-27 00:00:00,20.8
2021-06-28 00:00:00,23.0
2021-06-29 00:00:00,17.75
2021-06-30 00:00:00,14.36
2021-07-01 00:00:00,11.68
2021-07-02 00:00:00,8.91
2021-07-03 00:00:00,8.76
2021-07-04 00:00:00,9.52
2021-07-05 00:00:00,8.8
2021-07-06 00:00:00,8.0
2021-07-07 00:00:00,6.62
2021-07-08 00:00:00,5.35
2021-07-09 00:00:00,4.83
2021-07-10 00:00:00,6.0
2021-07-11 00:00:00,6.78
2021-07-12 00:00:00,92.78
2021-07-13 00:00:00,38.26
2021-07-14 00:00:00,20.36
2021-07-15 00:00:00,18.88
2021-07-16 00:00:00,15.8
2021-07-17 00:00:00,58.2
2021-07-18 00:00:00,111.0
2021-07-19 00:00:00,77.99
2021-07-20 00:00:00,39.33
2021-07-21 00:00:00,25.66
2021-07-22 00:00:00,16.93
2021-07-23 00:00:00,10.64
2021-07-24 00:00:00,28.0
2021-07-25 00:00:00,32.71
2021-07-26 00:00:00,24.4
2021-07-27 00:00:00,16.4
2021-07-28 00:00:00,14.68
2021-07-29 00:00:00,45.55
2021-07-30 00:00:00,27.64
2021-07-31 00:00:00,50.28
2021-08-01 00:00:00,35.0
2021-08-02 00:00:00,26.7
2021-08-03 00:00:00,16.56
2021-08-04 00:00:00,12.84
2021-08-05 00:00:00,9.65
2021-08-06 00:00:00,23.69
2021-08-07 00:00:00,26.47
2021-08-08 00:00:00,72.0
2021-08-09 00:00:00,39.04
2021-08-10 00:00:00,26.1
2021-08-11 00:00:00,16.1
2021-08-12 00:00:00,12.4
2021-08-13 00:00:00,9.1
2021-08-14 00:00:00,24.18
2021-08-15 00:00:00,34.0
2021-08-16 00:00:00,29.84
2021-08-17 00:00:00,68.45
2021-08-18 00:00:00,32.0
2021-08-19 00:00:00,25.85
2021-08-20 00:00:00,18.44
2021-08-21 00:00:00,15.08
2021-08-22 00:00:00,16.8
2021-08-23 00:00:00,15.6
2021-08-24 00:00:00,12.5
2021-08-25 00:00:00,10.2
2021-08-26 00:00:00,13.5
2021-08-27 00:00:00,11.11
2021-08-28 00:00:00,15.28
2021-08-29 00:00:00,39.0
2021-08-30 00:00:00,31.6
2021-08-31 00:00:00,27.0
2021-09-01 00:00:00,20.62
2021-09-02 00:00:00,17.49
2021-09-03 00:00:00,14.48
2021-09-04 00:00:00,14.36
2021-09-05 00:00:00,24.0
2021-09-06 00:00:00,19.14
2021-09-07 00:00:00,14.72
2021-09-08 00:00:00,12.0
2021-09-09 00:00:00,10.35
2021-09-10 00:00:00,8.5
2021-09-11 00:00:00,11.07
2021-09-12 00:00:00,18.68
2021-09-13 00:00:00,16.75
2021-09-14 00:00:00,13.36
2021-09-15 00:00:00,25.0
2021-09-16 00:00:00,58.22
2021-09-17 00:00:00,33.57
2021-09-18 00:00:00,29.44
2021-09-19 00:00:00,37.5
2021-09-20 00:00:00,28.0
2021-09-21 00:00:00,22.6
2021-09-22 00:00:00,20.82
2021-09-23 00:00:00,429.0
2021-09-24 00:00:00,99.0
2021-09-25 00:00:00,57.67
2021-09-26 00:00:00,42.12
2021-09-27 00:00:00,43.87
2021-09-28 00:00:00,38.0
2021-09-29 00:00:00,32.17
2021-09-30 00:00:00,125.0
2021-10-01 00:00:00,94.85
2021-10-02 00:00:00,72.0
2021-10-03 00:00:00,688.0
2021-10-04 00:00:00,183.33
2021-10-05 00:00:00,109.17
2021-10-06 00:00:00,89.53
2021-10-07 00:00:00,92.5
2021-10-08 00:00:00,68.92
2021-10-09 00:00:00,67.25
2021-10-10 00:00:00,67.8
2021-10-11 00:00:00,180.9
2021-10-12 00:00:00,604.0
2021-10-13 00:00:00,338.56
2021-10-14 00:00:00,497.0
2021-10-15 00:00:00,860.3
2021-10-16 00:00:00,460.09
2021-10-17 00:00:00,335.92
2021-10-18 00:00:00,222.0
2021-10-19 00:00:00,189.11
2021-10-20 00:00:00,633.33
2021-10-21 00:00:00,542.3
2021-10-22 00:00:00,440.0
2021-10-23 00:00:00,340.0
2021-10-24 00:00:00,220.04
2021-10-25 00:00:00,150.54
2021-10-26 00:00:00,109.31
2021-10-27 00:00:00,105.72
2021-10-28 00:00:00,96.92
2021-10-29 00:00:00,85.72
2021-10-30 00:00:00,99.99
2021-10-31 00:00:00,139.14
2021-11-01 00:00:00,146.74
2021-11-02 00:00:00,94.0
2021-11-03 00:00:00,64.0
2021-11-04 00:00:00,53.29
2021-11-05 00:00:00,51.26
2021-11-06 00:00:00,88.12
2021-11-07 00:00:00,445.85
2021-11-08 00:00:00,188.0
2021-11-09 00:00:00,104.72
2021-11-10 00:00:00,71.8
2021-11-11 00:00:00,52.92
2021-11-12 00:00:00,44.0
2021-11-13 00:00:00,65.92
2021-11-14 00:00:00,64.0
2021-11-15 00:00:00,56.0
2021-11-16 00:00:00,42.6
2021-11-17 00:00:00,35.07
2021-11-18 00:00:00,68.0
2021-11-19 00:00:00,124.97
2021-11-20 00:00:00,90.5
2021-11-21 00:00:00,100.92
2021-11-22 00:00:00,75.5
2021-11-23 00:00:00,69.0
2021-11-24 00:00:00,57.0
2021-11-25 00:00:00,46.26
2021-11-26 00:00:00,45.0
2021-11-27 00:00:00,73.07
2021-11-28 00:00:00,60.0
2021-11-29 00:00:00,51.45
2021-11-30 00:00:00,120.67
2021-12-01 00:00:00,112.88
2021-12-02 00:00:00,83.34
2021-12-03 00:00:00,68.0
2021-12-04 00:00:00,53.01
2021-12-05 00:00:00,95.0
2021-12-06 00:00:00,71.07
2021-12-07 00:00:00,69.02
2021-12-08 00:00:00,47.55
2021-12-09 00:00:00,22.14
2021-12-10 00:00:00,19.43
2021-12-11 00:00:00,11.85
2021-12-12 00:00:00,50.08
2021-12-13 00:00:00,21.0
2021-12-14 00:00:00,22.15
2021-12-15 00:00:00,22.51
2021-12-16 00:00:00,19.1
2021-12-17 00:00:00,17.69
2021-12-18 00:00:00,13.63
2021-12-19 00:00:00,79.36
2021-12-20 00:00:00,32.6
2021-12-21 00:00:00,21.01
2021-12-22 00:00:00,17.0
2021-12-23 00:00:00,13.2
2021-12-24 00:00:00,42.2
2021-12-25 00:00:00,27.72
2021-12-26 00:00:00,27.91
2021-12-27 00:00:00,38.1
2021-12-28 00:00:00,29.0
2021-12-29 00:00:00,24.26
