date,capacity_price
2020-11-01 00:00:00,7.08
2020-11-02 00:00:00,0.0
2020-11-03 00:00:00,838.0
2020-11-04 00:00:00,79.0
2020-11-05 00:00:00,42.68
2020-11-06 00:00:00,31.16
2020-11-07 00:00:00,19.05
2020-11-08 00:00:00,14.0
2020-11-09 00:00:00,16.88
2020-11-10 00:00:00,13.76
2020-11-11 00:00:00,11.6
2020-11-12 00:00:00,9.29
2020-11-13 00:00:00,7.5
2020-11-14 00:00:00,5.75
2020-11-15 00:00:00,25.0
2020-11-16 00:00:00,18.43
2020-11-17 00:00:00,17.67
2020-11-18 00:00:00,12.97
2020-11-19 00:00:00,22.78
2020-11-20 00:00:00,14.94
2020-11-21 00:00:00,9.5
2020-11-22 00:00:00,22.58
2020-11-23 00:00:00,13.5
2020-11-24 00:00:00,12.2
2020-11-25 00:00:00,10.0
2020-11-26 00:00:00,8.45
2020-11-27 00:00:00,18.0
2020-11-28 00:00:00,12.0
2020-11-29 00:00:00,9.04
2020-11-30 00:00:00,18.25
2020-12-01 00:00:00,9.9
2020-12-02 00:00:00,11.3
2020-12-03 00:00:00,8.84
2020-12-04 00:00:00,7.32
2020-12-05 00:00:00,6.64
2020-12-06 00:00:00,7.4
2020-12-07 00:00:00,8.5
2020-12-08 00:00:00,8.5
2020-12-09 00:00:00,8.7
2020-12-10 00:00:00,9.0
2020-12-11 00:00:00,7.87
2020-12-12 00:00:00,6.61
2020-12-13 00:00:00,5.76
2020-12-14 00:00:00,5.7
2020-12-15 00:00:00,7.08
2020-12-16 00:00:00,6.5
2020-12-17 00:00:00,6.42
2020-12-18 00:00:00,6.08
2020-12-19 00:00:00,6.0
2020-12-20 00:00:00,5.89
2020-12-21 00:00:00,5.75
2020-12-22 00:00:00,4.72
2020-12-23 00:00:00,5.56
2020-12-24 00:00:00,5.38
2020-12-25 00:00:00,4.28
2020-12-26 00:00:00,4.0
2020-12-27 00:00:00,33.34
2020-12-28 00:00:00,10.2
2020-12-29 00:00:00,7.52
2020-12-30 00:00:00,6.58
2020-12-31 00:00:00,7.44
2021-01-01 00:00:00,6.26
2021-01-02 00:00:00,5.44
2021-01-03 00:00:00,4.88
2021-01-04 00:00:00,5.28
2021-01-05 00:00:00,5.0
2021-01-06 00:00:00,4.45
2021-01-07 00:00:00,4.69
2021-01-08 00:00:00,4.4
2021-01-09 00:00:00,4.29
2021-01-10 00:00:00,3.76
2021-01-11 00:00:00,3.6
2021-01-12 00:00:00,4.26
2021-01-13 00:00:00,3.58
2021-01-14 00:00:00,3.64
2021-01-15 00:00:00,4.18
2021-01-16 00:00:00,3.8
2021-01-17 00:00:00,3.6
2021-01-18 00:00:00,3.48
2021-01-19 00:00:00,3.66
2021-01-20 00:00:00,3.44
2021-01-21 00:00:00,3.25
2021-01-22 00:00:00,3.17
2021-01-23 00:00:00,3.21
2021-01-24 00:00:00,2.77
2021-01-25 00:00:00,3.01
2021-01-26 00:00:00,3.92
2021-01-27 00:00:00,3.89
2021-01-28 00:00:00,3.4
2021-01-29 00:00:00,3.37
2021-01-30 00:00:00,3.14
2021-01-31 00:00:00,2.94
2021-02-01 00:00:00,27.85
2021-02-02 00:00:00,62.77
2021-02-03 00:00:00,48.18
2021-02-04 00:00:00,29.67
2021-02-05 00:00:00,20.32
2021-02-06 00:00:00,13.36
2021-02-07 00:00:00,8.3
2021-02-08 00:00:00,379.8
2021-02-09 00:00:00,93.0
2021-02-10 00:00:00,53.5
2021-02-11 00:00:00,42.44
2021-02-12 00:00:00,35.89
2021-02-13 00:00:00,24.47
2021-02-14 00:00:00,14.08
2021-02-15 00:00:00,150.0
2021-02-16 00:00:00,48.0
2021-02-17 00:00:00,28.7
2021-02-18 00:00:00,22.83
2021-02-19 00:00:00,16.94
2021-02-20 00:00:00,11.45
2021-02-21 00:00:00,9.28
2021-02-22 00:00:00,136.36
2021-02-23 00:00:00,52.01
2021-02-24 00:00:00,27.0
2021-02-25 00:00:00,20.25
2021-02-26 00:00:00,16.3
2021-02-27 00:00:00,10.49
2021-02-28 00:00:00,8.36
2021-03-01 00:00:00,90.9
2021-03-02 00:00:00,50.0
2021-03-03 00:00:00,26.51
2021-03-04 00:00:00,19.58
2021-03-05 00:00:00,16.48
2021-03-06 00:00:00,10.0
2021-03-07 00:00:00,7.25
2021-03-08 00:00:00,56.0
2021-03-09 00:00:00,33.12
2021-03-10 00:00:00,21.12
2021-03-11 00:00:00,15.05
2021-03-12 00:00:00,11.6
2021-03-13 00:00:00,8.67
2021-03-14 00:00:00,7.6
2021-03-15 00:00:00,33.56
2021-03-16 00:00:00,28.36
2021-03-17 00:00:00,21.1
2021-03-18 00:00:00,16.12
2021-03-19 00:00:00,13.24
2021-03-20 00:00:00,9.82
2021-03-21 00:00:00,8.74
2021-03-22 00:00:00,25.6
2021-03-23 00:00:00,20.52
2021-03-24 00:00:00,15.0
2021-03-25 00:00:00,12.04
2021-03-26 00:00:00,9.9
2021-03-27 00:00:00,7.87
2021-03-28 00:00:00,6.3
2021-03-29 00:00:00,19.56
2021-03-30 00:00:00,15.52
2021-03-31 00:00:00,11.6
2021-04-01 00:00:00,8.53
2021-04-02 00:00:00,7.42
2021-04-03 00:00:00,6.12
2021-04-04 00:00:00,5.64
2021-04-05 00:00:00,15.6
2021-04-06 00:00:00,13.56
2021-04-07 00:00:00,20.11
2021-04-08 00:00:00,14.0
2021-04-09 00:00:00,9.4
2021-04-10 00:00:00,7.24
2021-04-11 00:00:00,5.84
2021-04-12 00:00:00,1200.0
2021-04-13 00:00:00,120.02
2021-04-14 00:00:00,50.12
2021-04-15 00:00:00,29.82
2021-04-16 00:00:00,160.71
2021-04-17 00:00:00,53.0
2021-04-18 00:00:00,32.72
2021-04-19 00:00:00,105.56
2021-04-20 00:00:00,62.12
2021-04-21 00:00:00,38.35
2021-04-22 00:00:00,29.54
2021-04-23 00:00:00,23.0
2021-04-24 00:00:00,19.5
2021-04-25 00:00:00,25.67
2021-04-26 00:00:00,66.2
2021-04-27 00:00:00,40.64
2021-04-28 00:00:00,30.01
2021-04-29 00:00:00,22.0
2021-04-30 00:00:00,1000.0
2021-05-01 00:00:00,76.85
2021-05-02 00:00:00,46.46
2021-05-03 00:00:00,240.9
2021-05-04 00:00:00,199.0
2021-05-05 00:00:00,239.0
2021-05-06 00:00:00,131.56
2021-05-07 00:00:00,119.0
2021-05-08 00:00:00,79.88
2021-05-09 00:00:00,123.69
2021-05-10 00:00:00,139.0
2021-05-11 00:00:00,108.73
2021-05-12 00:00:00,81.5
2021-05-13 00:00:00,64.83
2021-05-14 00:00:00,50.52
2021-05-15 00:00:00,40.24
2021-05-16 00:00:00,34.2
2021-05-17 00:00:00,75.78
2021-05-18 00:00:00,55.68
2021-05-19 00:00:00,43.0
2021-05-20 00:00:00,37.97
2021-05-21 00:00:00,31.5
2021-05-22 00:00:00,142.31
2021-05-23 00:00:00,128.0
2021-05-24 00:00:00,99.99
2021-05-25 00:00:00,84.46
2021-05-26 00:00:00,70.0
2021-05-27 00:00:00,58.84
2021-05-28 00:00:00,47.67
2021-05-29 00:00:00,37.72
2021-05-30 00:00:00,36.44
2021-05-31 00:00:00,60.5
2021-06-01 00:00:00,48.03
2021-06-02 00:00:00,41.0
2021-06-03 00:00:00,34.8
2021-06-04 00:00:00,41.6
2021-06-05 00:00:00,37.54
2021-06-06 00:00:00,33.16
2021-06-07 00:00:00,62.88
2021-06-08 00:00:00,46.13
2021-06-09 00:00:00,41.03
2021-06-10 00:00:00,42.74
2021-06-11 00:00:00,39.88
2021-06-12 00:00:00,36.0
2021-06-13 00:00:00,50.48
2021-06-14 00:00:00,51.8
2021-06-15 00:00:00,43.16
2021-06-16 00:00:00,40.48
2021-06-17 00:00:00,37.15
2021-06-18 00:00:00,33.46
2021-06-19 00:00:00,29.08
2021-06-20 00:00:00,26.74
2021-06-21 00:00:00,40.7
2021-06-22 00:00:00,34.52
2021-06-23 00:00:00,31.8
2021-06-24 00:00:00,28.6
2021-06-25 00:00:00,35.24
2021-06-26 00:00:00,31.13
2021-06-27 00:00:00,25.68
2021-06-28 00:00:00,35.6
2021-06-29 00:00:00,30.47
2021-06-30 00:00:00,26.72
2021-07-01 00:00:00,23.0
2021-07-02 00:00:00,19.67
2021-07-03 00:00:00,15.91
2021-07-04 00:00:00,12.95
2021-07-05 00:00:00,27.0
2021-07-06 00:00:00,20.16
2021-07-07 00:00:00,17.62
2021-07-08 00:00:00,14.97
2021-07-09 00:00:00,12.6
2021-07-10 00:00:00,11.68
2021-07-11 00:00:00,9.96
2021-07-12 00:00:00,21.2
2021-07-13 00:00:00,251.57
2021-07-14 00:00:00,52.0
2021-07-15 00:00:00,36.67
2021-07-16 00:00:00,26.68
2021-07-17 00:00:00,42.55
2021-07-18 00:00:00,67.0
2021-07-19 00:00:00,40.9
2021-07-20 00:00:00,30.03
2021-07-21 00:00:00,42.38
2021-07-22 00:00:00,26.96
2021-07-23 00:00:00,21.82
2021-07-24 00:00:00,16.5
2021-07-25 00:00:00,15.4
2021-07-26 00:00:00,24.42
2021-07-27 00:00:00,19.46
2021-07-28 00:00:00,14.82
2021-07-29 00:00:00,25.0
2021-07-30 00:00:00,14.33
2021-07-31 00:00:00,28.95
2021-08-01 00:00:00,31.64
2021-08-02 00:00:00,35.83
2021-08-03 00:00:00,23.21
2021-08-04 00:00:00,19.45
2021-08-05 00:00:00,17.0
2021-08-06 00:00:00,13.76
2021-08-07 00:00:00,15.33
2021-08-08 00:00:00,28.72
2021-08-09 00:00:00,27.81
2021-08-10 00:00:00,25.95
2021-08-11 00:00:00,20.32
2021-08-12 00:00:00,17.47
2021-08-13 00:00:00,15.0
2021-08-14 00:00:00,19.88
2021-08-15 00:00:00,25.5
2021-08-16 00:00:00,21.18
2021-08-17 00:00:00,16.72
2021-08-18 00:00:00,15.11
2021-08-19 00:00:00,15.28
2021-08-20 00:00:00,14.6
2021-08-21 00:00:00,16.02
2021-08-22 00:00:00,13.03
2021-08-23 00:00:00,18.04
2021-08-24 00:00:00,15.14
2021-08-25 00:00:00,13.68
2021-08-26 00:00:00,12.44
2021-08-27 00:00:00,12.32
2021-08-28 00:00:00,37.79
