date,product,capacity_price,offered_capacity,allocated_capacity,month
2020-11-01,NEG_04_08,78.89,40,40,11
2020-11-02,NEG_04_08,92.22,40,40,11
2020-11-03,NEG_04_08,1074.0,80,80,11
2020-11-04,NEG_04_08,241.76,80,80,11
2020-11-05,NEG_04_08,84.46,26,26,11
2020-11-06,NEG_04_08,48.57,26,26,11
2020-11-07,NEG_04_08,32.55,20,20,11
2020-11-08,NEG_04_08,25.0,20,20,11
2020-11-09,NEG_04_08,22.0,80,80,11
2020-11-10,NEG_04_08,17.83,20,20,11
2020-11-11,NEG_04_08,13.74,80,80,11
2020-11-12,NEG_04_08,13.11,79,79,11
2020-11-13,NEG_04_08,10.76,79,79,11
2020-11-14,NEG_04_08,9.56,30,30,11
2020-11-15,NEG_04_08,87.0,20,20,11
2020-11-16,NEG_04_08,67.8,20,20,11
2020-11-17,NEG_04_08,37.0,20,20,11
2020-11-18,NEG_04_08,18.43,79,79,11
2020-11-19,NEG_04_08,42.46,20,20,11
2020-11-20,NEG_04_08,19.25,80,80,11
2020-11-21,NEG_04_08,28.2,80,36,11
2020-11-22,NEG_04_08,84.86,30,30,11
2020-11-23,NEG_04_08,26.4,20,20,11
2020-11-24,NEG_04_08,19.76,30,30,11
2020-11-25,NEG_04_08,13.14,35,35,11
2020-11-26,NEG_04_08,11.0,80,79,11
2020-11-27,NEG_04_08,8.6,100,100,11
2020-11-28,NEG_04_08,10.72,100,100,11
2020-11-29,NEG_04_08,19.0,100,100,11
2020-11-30,NEG_04_08,11.58,30,30,11
2020-12-01,NEG_04_08,11.93,20,20,12
2020-12-02,NEG_04_08,9.47,80,80,12
2020-12-03,NEG_04_08,8.0,100,100,12
2020-12-04,NEG_04_08,13.9,80,67,12
2020-12-05,NEG_04_08,12.2,80,80,12
2020-12-06,NEG_04_08,9.9,33,33,12
2020-12-07,NEG_04_08,12.9,33,33,12
2020-12-08,NEG_04_08,17.2,80,80,12
2020-12-09,NEG_04_08,19.9,24,24,12
2020-12-10,NEG_04_08,33.46,24,24,12
2020-12-11,NEG_04_08,21.0,30,30,12
2020-12-12,NEG_04_08,21.0,80,80,12
2020-12-13,NEG_04_08,17.0,30,30,12
2020-12-14,NEG_04_08,20.75,80,80,12
2020-12-15,NEG_04_08,17.04,80,80,12
2020-12-16,NEG_04_08,14.32,80,80,12
2020-12-17,NEG_04_08,15.64,30,30,12
2020-12-18,NEG_04_08,12.58,42,42,12
2020-12-19,NEG_04_08,16.91,30,30,12
2020-12-20,NEG_04_08,22.67,30,30,12
2020-12-21,NEG_04_08,16.0,30,30,12
2020-12-22,NEG_04_08,65.73,30,30,12
2020-12-23,NEG_04_08,21.1,100,100,12
2020-12-24,NEG_04_08,41.53,21,21,12
2020-12-25,NEG_04_08,29.16,20,20,12
2020-12-26,NEG_04_08,27.08,14,14,12
2020-12-27,NEG_04_08,280.76,30,30,12
2020-12-28,NEG_04_08,60.0,30,30,12
2020-12-29,NEG_04_08,22.05,30,30,12
2020-12-30,NEG_04_08,21.32,30,30,12
2020-12-31,NEG_04_08,20.87,30,30,12
2021-01-01,NEG_04_08,18.4,30,30,1
2021-01-02,NEG_04_08,15.6,100,100,1
2021-01-03,NEG_04_08,17.35,40,40,1
2021-01-04,NEG_04_08,14.84,12,12,1
2021-01-05,NEG_04_08,12.87,24,24,1
2021-01-06,NEG_04_08,11.1,24,24,1
2021-01-07,NEG_04_08,9.82,100,40,1
2021-01-08,NEG_04_08,9.44,100,100,1
2021-01-09,NEG_04_08,8.4,40,40,1
2021-01-10,NEG_04_08,7.23,30,30,1
2021-01-11,NEG_04_08,7.0,15,15,1
2021-01-12,NEG_04_08,12.95,15,15,1
2021-01-13,NEG_04_08,9.94,15,15,1
2021-01-14,NEG_04_08,6.88,15,15,1
2021-01-15,NEG_04_08,5.53,26,26,1
2021-01-16,NEG_04_08,5.0,40,40,1
2021-01-17,NEG_04_08,4.93,16,16,1
2021-01-18,NEG_04_08,4.34,40,40,1
2021-01-19,NEG_04_08,4.74,16,16,1
2021-01-20,NEG_04_08,18.16,16,16,1
2021-01-21,NEG_04_08,36.28,16,16,1
2021-01-22,NEG_04_08,33.38,21,21,1
2021-01-23,NEG_04_08,11.0,40,40,1
2021-01-24,NEG_04_08,9.68,40,40,1
2021-01-25,NEG_04_08,7.39,30,30,1
2021-01-26,NEG_04_08,5.8,30,30,1
2021-01-27,NEG_04_08,4.8,10,10,1
2021-01-28,NEG_04_08,4.5,30,30,1
2021-01-29,NEG_04_08,4.0,30,30,1
2021-01-30,NEG_04_08,4.5,30,30,1
2021-01-31,NEG_04_08,14.91,30,30,1
2021-02-01,NEG_04_08,10.43,36,36,2
2021-02-02,NEG_04_08,6.14,100,100,2
2021-02-03,NEG_04_08,6.3,36,36,2
2021-02-04,NEG_04_08,9.99,30,30,2
2021-02-05,NEG_04_08,6.52,20,20,2
2021-02-06,NEG_04_08,20.75,20,20,2
2021-02-07,NEG_04_08,160.0,20,20,2
2021-02-08,NEG_04_08,61.32,16,16,2
2021-02-09,NEG_04_08,27.63,14,14,2
2021-02-10,NEG_04_08,17.37,14,14,2
2021-02-11,NEG_04_08,12.45,60,60,2
2021-02-12,NEG_04_08,10.0,35,35,2
2021-02-13,NEG_04_08,8.24,14,14,2
2021-02-14,NEG_04_08,7.1,12,12,2
2021-02-15,NEG_04_08,10.99,16,16,2
2021-02-16,NEG_04_08,8.24,20,20,2
2021-02-17,NEG_04_08,26.39,14,14,2
2021-02-18,NEG_04_08,16.53,20,20,2
2021-02-19,NEG_04_08,18.78,80,80,2
2021-02-20,NEG_04_08,15.76,16,16,2
2021-02-21,NEG_04_08,78.0,18,18,2
2021-02-22,NEG_04_08,26.47,80,80,2
2021-02-23,NEG_04_08,17.2,100,100,2
2021-02-24,NEG_04_08,17.2,16,16,2
2021-02-25,NEG_04_08,17.27,50,50,2
2021-02-26,NEG_04_08,13.93,24,24,2
2021-02-27,NEG_04_08,11.96,20,20,2
2021-02-28,NEG_04_08,19.78,25,25,2
2021-03-01,NEG_04_08,13.33,50,50,3
2021-03-02,NEG_04_08,10.5,50,50,3
